instance_id,file_path,location_type,location_name
050eeedd6c285d8c42f2,crypto/arc4.c,function,crypto_arc4_crypt
050eeedd6c285d8c42f2,crypto/arc4.c,function,crypto_arc4_setkey
050eeedd6c285d8c42f2,crypto/arc4.c,function,crypto_arc4_init
050eeedd6c285d8c42f2,crypto/arc4.c,struct,arc4_ctx
050eeedd6c285d8c42f2,crypto/lskcipher.c,function,crypto_lskcipher_crypt
050eeedd6c285d8c42f2,crypto/lskcipher.c,function,crypto_lskcipher_decrypt
050eeedd6c285d8c42f2,crypto/lskcipher.c,function,crypto_lskcipher_crypt_sg
050eeedd6c285d8c42f2,crypto/lskcipher.c,struct,lskcipher_alg
050eeedd6c285d8c42f2,crypto/skcipher.c,function,crypto_skcipher_decrypt
050eeedd6c285d8c42f2,crypto/skcipher.c,function,crypto_skcipher_setkey
050eeedd6c285d8c42f2,crypto/skcipher.c,struct,skcipher_alg
050eeedd6c285d8c42f2,crypto/algif_skcipher.c,function,_skcipher_recvmsg
050eeedd6c285d8c42f2,crypto/algif_skcipher.c,function,skcipher_recvmsg
050eeedd6c285d8c42f2,arch/x86/lib/memcpy_64.S,function,memcpy_orig
1a0a53300ce782f8b3ad,fs/io_uring.c,function,io_do_iopoll
1a0a53300ce782f8b3ad,fs/io_uring.c,function,io_iopoll_try_reap_events
1a0a53300ce782f8b3ad,fs/io_uring.c,function,io_poll_check_events
1a0a53300ce782f8b3ad,fs/io_uring.c,function,io_poll_task_func
1a0a53300ce782f8b3ad,fs/io_uring.c,function,io_poll_wake
1a0a53300ce782f8b3ad,fs/io_uring.c,function,__io_arm_poll_handler
1a0a53300ce782f8b3ad,fs/io_uring.c,struct,io_ring_ctx
1a0a53300ce782f8b3ad,fs/io_uring.c,struct,io_kiocb
1a0a53300ce782f8b3ad,fs/io_uring.c,struct,io_poll_iocb
a168dbeaaa7778273c1b,drivers/video/fbdev/core/sysfillrect.c,function,bitfill_aligned
a168dbeaaa7778273c1b,drivers/video/fbdev/core/sysfillrect.c,function,sys_fillrect
a168dbeaaa7778273c1b,drivers/video/fbdev/core/sysfillrect.c,struct,fb_fillrect
a168dbeaaa7778273c1b,drivers/gpu/drm/drm_fb_helper.c,function,drm_fb_helper_sys_fillrect
a168dbeaaa7778273c1b,drivers/gpu/drm/drm_fb_helper.c,function,drm_fbdev_fb_fillrect
a168dbeaaa7778273c1b,drivers/video/fbdev/core/bitblit.c,function,bit_clear_margins
a168dbeaaa7778273c1b,drivers/video/fbdev/core/fbcon.c,function,fbcon_clear_margins
a168dbeaaa7778273c1b,drivers/video/fbdev/core/fbcon.c,function,fbcon_do_set_font
a168dbeaaa7778273c1b,drivers/video/fbdev/core/fbcon.c,function,fbcon_set_font
a168dbeaaa7778273c1b,include/linux/string.h,function,memset_l
a168dbeaaa7778273c1b,arch/x86/include/asm/string_64.h,function,memset64
10e27961f4da37c443b2,kernel/dma/mapping.c,function,__dma_map_sg_attrs
10e27961f4da37c443b2,kernel/dma/mapping.c,function,dma_map_sgtable
10e27961f4da37c443b2,kernel/dma/mapping.c,struct,dma_devres
10e27961f4da37c443b2,drivers/dma-buf/udmabuf.c,function,get_sg_table
10e27961f4da37c443b2,drivers/dma-buf/udmabuf.c,function,begin_cpu_udmabuf
10e27961f4da37c443b2,drivers/dma-buf/udmabuf.c,struct,udmabuf
10e27961f4da37c443b2,drivers/dma-buf/dma-buf.c,function,dma_buf_begin_cpu_access
10e27961f4da37c443b2,drivers/dma-buf/dma-buf.c,function,dma_buf_ioctl
10e27961f4da37c443b2,drivers/dma-buf/dma-buf.c,struct,dma_buf
10e27961f4da37c443b2,include/linux/dma-mapping.h,function,dma_map_sg_attrs
10e27961f4da37c443b2,include/linux/dma-mapping.h,macro,DMA_ATTR_SKIP_CPU_SYNC
1fa91bcd05206ff8cbb5,include/linux/skmsg.h,function,sk_psock_get
1fa91bcd05206ff8cbb5,include/linux/skmsg.h,function,sk_psock_put
1fa91bcd05206ff8cbb5,include/linux/skmsg.h,struct,sk_psock
1fa91bcd05206ff8cbb5,include/linux/refcount.h,function,refcount_read
1fa91bcd05206ff8cbb5,include/linux/refcount.h,function,refcount_inc_not_zero
1fa91bcd05206ff8cbb5,include/linux/refcount.h,struct,refcount_struct
1fa91bcd05206ff8cbb5,include/linux/instrumented.h,function,instrument_atomic_read
1fa91bcd05206ff8cbb5,include/linux/atomic/atomic-instrumented.h,function,atomic_read
1fa91bcd05206ff8cbb5,net/core/skmsg.c,function,sk_psock_init
1fa91bcd05206ff8cbb5,net/core/skmsg.c,function,sk_psock_destroy
1fa91bcd05206ff8cbb5,mm/kasan/generic.c,function,kasan_check_range
1fa91bcd05206ff8cbb5,mm/kasan/generic.c,function,check_region_inline
1fa91bcd05206ff8cbb5,mm/slab.h,function,slab_test_pfmemalloc
1fa91bcd05206ff8cbb5,mm/slab.h,function,slab_address
a76f6a6e524cf2080aa3,fs/fscache/volume.c,function,fscache_volume_same
a76f6a6e524cf2080aa3,fs/fscache/volume.c,function,fscache_hash_volume
a76f6a6e524cf2080aa3,fs/fscache/volume.c,function,__fscache_acquire_volume
a76f6a6e524cf2080aa3,fs/fscache/volume.c,function,fscache_alloc_volume
a76f6a6e524cf2080aa3,fs/fscache/volume.c,struct,fscache_volume
a76f6a6e524cf2080aa3,fs/9p/cache.c,function,v9fs_cache_session_get_cookie
a76f6a6e524cf2080aa3,include/linux/fscache.h,struct,fscache_volume
a76f6a6e524cf2080aa3,include/linux/fscache.h,macro,fscache_acquire_volume
a76f6a6e524cf2080aa3,lib/string.c,function,memcmp
a76f6a6e524cf2080aa3,include/linux/fortify-string.h,macro,__underlying_memcmp
283ce5a46486d6acdbaf,fs/open.c,function,filp_close
283ce5a46486d6acdbaf,fs/open.c,function,__fput
283ce5a46486d6acdbaf,fs/open.c,function,fput
283ce5a46486d6acdbaf,fs/open.c,function,fput_many
283ce5a46486d6acdbaf,fs/file_table.c,function,file_free
283ce5a46486d6acdbaf,fs/file_table.c,function,file_free_rcu
283ce5a46486d6acdbaf,fs/file_table.c,struct,file
283ce5a46486d6acdbaf,mm/kasan/report.c,function,kasan_report
283ce5a46486d6acdbaf,mm/kasan/report.c,function,print_address_description
283ce5a46486d6acdbaf,mm/kasan/report.c,function,__kasan_report
283ce5a46486d6acdbaf,mm/kasan/generic.c,function,kasan_check_range
283ce5a46486d6acdbaf,mm/kasan/generic.c,function,check_region_inline
283ce5a46486d6acdbaf,include/linux/fs.h,struct,file
283ce5a46486d6acdbaf,include/linux/fs.h,struct,file_operations
283ce5a46486d6acdbaf,include/linux/file.h,function,fput_light
283ce5a46486d6acdbaf,include/linux/file.h,function,fdput
0b7c8bfd17c00d016fb4,kernel/printk/printk.c,function,console_unlock
0b7c8bfd17c00d016fb4,kernel/printk/printk.c,function,console_lock_spinning_enable
0b7c8bfd17c00d016fb4,kernel/printk/printk.c,function,call_console_drivers
0b7c8bfd17c00d016fb4,kernel/printk/printk.c,struct,console
0b7c8bfd17c00d016fb4,drivers/tty/pty.c,function,pty_write
0b7c8bfd17c00d016fb4,drivers/tty/pty.c,struct,tty_struct
0b7c8bfd17c00d016fb4,drivers/tty/tty_buffer.c,function,tty_buffer_alloc
